mode,bytes,effective_bytes,block,grid,warmup,iters,ms_per_iter,GBps,active_frac,gather_span_bytes,device,sm,cc_major,cc_minor
seq,1048576,1048576,256,1056,10,200,0.002942,356.426,1.000,0,NVIDIA H200,132,9,0
seq,2097152,2097152,256,1056,10,200,0.003036,690.798,1.000,0,NVIDIA H200,132,9,0
seq,4194304,4194304,256,1056,10,200,0.003098,1353.910,1.000,0,NVIDIA H200,132,9,0
seq,8388608,8388608,256,1056,10,200,0.003542,2368.593,1.000,0,NVIDIA H200,132,9,0
seq,16777216,16777216,256,1056,10,200,0.004579,3664.172,1.000,0,NVIDIA H200,132,9,0
seq,33554432,33554432,256,1056,10,200,0.006296,5329.891,1.000,0,NVIDIA H200,132,9,0
seq,67108864,67108864,256,1056,10,200,0.019205,3494.380,1.000,0,NVIDIA H200,132,9,0
seq,134217728,134217728,256,1056,10,200,0.034658,3872.660,1.000,0,NVIDIA H200,132,9,0
seq,268435456,268435456,256,1056,10,200,0.065354,4107.402,1.000,0,NVIDIA H200,132,9,0
seq,536870912,536870912,256,1056,10,200,0.125104,4291.403,1.000,0,NVIDIA H200,132,9,0
seq,1073741824,1073741824,256,1056,10,200,0.245583,4372.221,1.000,0,NVIDIA H200,132,9,0
seq,2147483648,2147483648,256,1056,10,200,0.484536,4432.037,1.000,0,NVIDIA H200,132,9,0
seq,4294967296,4294967296,256,1056,10,200,0.963125,4459.406,1.000,0,NVIDIA H200,132,9,0
seq,8589934592,8589934592,256,1056,10,200,1.916744,4481.524,1.000,0,NVIDIA H200,132,9,0
