epsilon_type,epsilon,aggregation,dataset,k_star
absolute,0,sum,Sensor,6
absolute,9.9999999999999998e-13,sum,Sensor,6
absolute,1.0000000000000001e-09,sum,Sensor,6
absolute,9.9999999999999995e-07,sum,Sensor,6
absolute,0.001,sum,Sensor,5
absolute,0.01,sum,Sensor,5
absolute,0.10000000000000001,sum,Sensor,4
absolute,1,sum,Sensor,4
absolute,10,sum,Sensor,3
absolute,100,sum,Sensor,3
absolute,1000,sum,Sensor,3
absolute,10000,sum,Sensor,2
absolute,100000,sum,Sensor,2
absolute,1000000,sum,Sensor,1
absolute,100000000,sum,Sensor,1
absolute,10000000000,sum,Sensor,1
absolute,1000000000000,sum,Sensor,1
absolute,0,sum,Uniform,7
absolute,9.9999999999999998e-13,sum,Uniform,7
absolute,1.0000000000000001e-09,sum,Uniform,7
absolute,9.9999999999999995e-07,sum,Uniform,7
absolute,0.001,sum,Uniform,6
absolute,0.01,sum,Uniform,6
absolute,0.10000000000000001,sum,Uniform,5
absolute,1,sum,Uniform,5
absolute,10,sum,Uniform,5
absolute,100,sum,Uniform,4
absolute,1000,sum,Uniform,4
absolute,10000,sum,Uniform,3
absolute,100000,sum,Uniform,3
absolute,1000000,sum,Uniform,2
absolute,100000000,sum,Uniform,2
absolute,10000000000,sum,Uniform,1
absolute,1000000000000,sum,Uniform,1
absolute,0,sum,Heavy-tailed,NA
absolute,9.9999999999999998e-13,sum,Heavy-tailed,NA
absolute,1.0000000000000001e-09,sum,Heavy-tailed,NA
absolute,9.9999999999999995e-07,sum,Heavy-tailed,NA
absolute,0.001,sum,Heavy-tailed,NA
absolute,0.01,sum,Heavy-tailed,8
absolute,0.10000000000000001,sum,Heavy-tailed,8
absolute,1,sum,Heavy-tailed,7
absolute,10,sum,Heavy-tailed,7
absolute,100,sum,Heavy-tailed,7
absolute,1000,sum,Heavy-tailed,6
absolute,10000,sum,Heavy-tailed,6
absolute,100000,sum,Heavy-tailed,5
absolute,1000000,sum,Heavy-tailed,5
absolute,100000000,sum,Heavy-tailed,4
absolute,10000000000,sum,Heavy-tailed,3
absolute,1000000000000,sum,Heavy-tailed,1
absolute,0,sum,Zipfian,NA
absolute,9.9999999999999998e-13,sum,Zipfian,NA
absolute,1.0000000000000001e-09,sum,Zipfian,NA
absolute,9.9999999999999995e-07,sum,Zipfian,NA
absolute,0.001,sum,Zipfian,8
absolute,0.01,sum,Zipfian,7
absolute,0.10000000000000001,sum,Zipfian,7
absolute,1,sum,Zipfian,7
absolute,10,sum,Zipfian,6
absolute,100,sum,Zipfian,6
absolute,1000,sum,Zipfian,5
absolute,10000,sum,Zipfian,5
absolute,100000,sum,Zipfian,4
absolute,1000000,sum,Zipfian,4
absolute,100000000,sum,Zipfian,3
absolute,10000000000,sum,Zipfian,2
absolute,1000000000000,sum,Zipfian,1
absolute,0,avg,Sensor,6
absolute,9.9999999999999998e-13,avg,Sensor,6
absolute,1.0000000000000001e-09,avg,Sensor,4
absolute,9.9999999999999995e-07,avg,Sensor,3
absolute,0.001,avg,Sensor,2
absolute,0.01,avg,Sensor,1
absolute,0.10000000000000001,avg,Sensor,1
absolute,1,avg,Sensor,1
absolute,10,avg,Sensor,1
absolute,100,avg,Sensor,1
absolute,1000,avg,Sensor,1
absolute,10000,avg,Sensor,1
absolute,100000,avg,Sensor,1
absolute,1000000,avg,Sensor,1
absolute,100000000,avg,Sensor,1
absolute,10000000000,avg,Sensor,1
absolute,1000000000000,avg,Sensor,1
absolute,0,avg,Uniform,7
absolute,9.9999999999999998e-13,avg,Uniform,7
absolute,1.0000000000000001e-09,avg,Uniform,5
absolute,9.9999999999999995e-07,avg,Uniform,4
absolute,0.001,avg,Uniform,3
absolute,0.01,avg,Uniform,2
absolute,0.10000000000000001,avg,Uniform,2
absolute,1,avg,Uniform,2
absolute,10,avg,Uniform,1
absolute,100,avg,Uniform,1
absolute,1000,avg,Uniform,1
absolute,10000,avg,Uniform,1
absolute,100000,avg,Uniform,1
absolute,1000000,avg,Uniform,1
absolute,100000000,avg,Uniform,1
absolute,10000000000,avg,Uniform,1
absolute,1000000000000,avg,Uniform,1
absolute,0,avg,Heavy-tailed,NA
absolute,9.9999999999999998e-13,avg,Heavy-tailed,NA
absolute,1.0000000000000001e-09,avg,Heavy-tailed,8
absolute,9.9999999999999995e-07,avg,Heavy-tailed,7
absolute,0.001,avg,Heavy-tailed,5
absolute,0.01,avg,Heavy-tailed,5
absolute,0.10000000000000001,avg,Heavy-tailed,4
absolute,1,avg,Heavy-tailed,4
absolute,10,avg,Heavy-tailed,3
absolute,100,avg,Heavy-tailed,3
absolute,1000,avg,Heavy-tailed,2
absolute,10000,avg,Heavy-tailed,1
absolute,100000,avg,Heavy-tailed,1
absolute,1000000,avg,Heavy-tailed,1
absolute,100000000,avg,Heavy-tailed,1
absolute,10000000000,avg,Heavy-tailed,1
absolute,1000000000000,avg,Heavy-tailed,1
absolute,0,avg,Zipfian,8
absolute,9.9999999999999998e-13,avg,Zipfian,8
absolute,1.0000000000000001e-09,avg,Zipfian,7
absolute,9.9999999999999995e-07,avg,Zipfian,6
absolute,0.001,avg,Zipfian,4
absolute,0.01,avg,Zipfian,4
absolute,0.10000000000000001,avg,Zipfian,4
absolute,1,avg,Zipfian,3
absolute,10,avg,Zipfian,3
absolute,100,avg,Zipfian,2
absolute,1000,avg,Zipfian,1
absolute,10000,avg,Zipfian,1
absolute,100000,avg,Zipfian,1
absolute,1000000,avg,Zipfian,1
absolute,100000000,avg,Zipfian,1
absolute,10000000000,avg,Zipfian,1
absolute,1000000000000,avg,Zipfian,1
absolute,0,count_gt,Sensor,3
absolute,9.9999999999999998e-13,count_gt,Sensor,3
absolute,1.0000000000000001e-09,count_gt,Sensor,3
absolute,9.9999999999999995e-07,count_gt,Sensor,3
absolute,0.001,count_gt,Sensor,3
absolute,0.01,count_gt,Sensor,3
absolute,0.10000000000000001,count_gt,Sensor,3
absolute,1,count_gt,Sensor,3
absolute,10,count_gt,Sensor,3
absolute,100,count_gt,Sensor,3
absolute,1000,count_gt,Sensor,2
absolute,10000,count_gt,Sensor,2
absolute,100000,count_gt,Sensor,2
absolute,1000000,count_gt,Sensor,1
absolute,100000000,count_gt,Sensor,1
absolute,10000000000,count_gt,Sensor,1
absolute,1000000000000,count_gt,Sensor,1
absolute,0,count_gt,Uniform,4
absolute,9.9999999999999998e-13,count_gt,Uniform,4
absolute,1.0000000000000001e-09,count_gt,Uniform,4
absolute,9.9999999999999995e-07,count_gt,Uniform,4
absolute,0.001,count_gt,Uniform,4
absolute,0.01,count_gt,Uniform,4
absolute,0.10000000000000001,count_gt,Uniform,4
absolute,1,count_gt,Uniform,4
absolute,10,count_gt,Uniform,3
absolute,100,count_gt,Uniform,3
absolute,1000,count_gt,Uniform,3
absolute,10000,count_gt,Uniform,2
absolute,100000,count_gt,Uniform,2
absolute,1000000,count_gt,Uniform,1
absolute,100000000,count_gt,Uniform,1
absolute,10000000000,count_gt,Uniform,1
absolute,1000000000000,count_gt,Uniform,1
absolute,0,count_gt,Heavy-tailed,7
absolute,9.9999999999999998e-13,count_gt,Heavy-tailed,7
absolute,1.0000000000000001e-09,count_gt,Heavy-tailed,7
absolute,9.9999999999999995e-07,count_gt,Heavy-tailed,7
absolute,0.001,count_gt,Heavy-tailed,7
absolute,0.01,count_gt,Heavy-tailed,7
absolute,0.10000000000000001,count_gt,Heavy-tailed,7
absolute,1,count_gt,Heavy-tailed,7
absolute,10,count_gt,Heavy-tailed,7
absolute,100,count_gt,Heavy-tailed,6
absolute,1000,count_gt,Heavy-tailed,6
absolute,10000,count_gt,Heavy-tailed,5
absolute,100000,count_gt,Heavy-tailed,5
absolute,1000000,count_gt,Heavy-tailed,4
absolute,100000000,count_gt,Heavy-tailed,1
absolute,10000000000,count_gt,Heavy-tailed,1
absolute,1000000000000,count_gt,Heavy-tailed,1
absolute,0,count_gt,Zipfian,7
absolute,9.9999999999999998e-13,count_gt,Zipfian,7
absolute,1.0000000000000001e-09,count_gt,Zipfian,7
absolute,9.9999999999999995e-07,count_gt,Zipfian,7
absolute,0.001,count_gt,Zipfian,7
absolute,0.01,count_gt,Zipfian,7
absolute,0.10000000000000001,count_gt,Zipfian,7
absolute,1,count_gt,Zipfian,7
absolute,10,count_gt,Zipfian,7
absolute,100,count_gt,Zipfian,6
absolute,1000,count_gt,Zipfian,6
absolute,10000,count_gt,Zipfian,5
absolute,100000,count_gt,Zipfian,5
absolute,1000000,count_gt,Zipfian,3
absolute,100000000,count_gt,Zipfian,1
absolute,10000000000,count_gt,Zipfian,1
absolute,1000000000000,count_gt,Zipfian,1
absolute,0,min,Sensor,7
absolute,9.9999999999999998e-13,min,Sensor,6
absolute,1.0000000000000001e-09,min,Sensor,4
absolute,9.9999999999999995e-07,min,Sensor,3
absolute,0.001,min,Sensor,2
absolute,0.01,min,Sensor,1
absolute,0.10000000000000001,min,Sensor,1
absolute,1,min,Sensor,1
absolute,10,min,Sensor,1
absolute,100,min,Sensor,1
absolute,1000,min,Sensor,1
absolute,10000,min,Sensor,1
absolute,100000,min,Sensor,1
absolute,1000000,min,Sensor,1
absolute,100000000,min,Sensor,1
absolute,10000000000,min,Sensor,1
absolute,1000000000000,min,Sensor,1
absolute,0,min,Uniform,8
absolute,9.9999999999999998e-13,min,Uniform,6
absolute,1.0000000000000001e-09,min,Uniform,5
absolute,9.9999999999999995e-07,min,Uniform,4
absolute,0.001,min,Uniform,1
absolute,0.01,min,Uniform,1
absolute,0.10000000000000001,min,Uniform,1
