epsilon_type,epsilon,aggregation,dataset,k_star
relative,0,sum,Sensor,6
relative,9.9999999999999998e-13,sum,Sensor,5
relative,1.0000000000000001e-09,sum,Sensor,4
relative,9.9999999999999995e-07,sum,Sensor,2
relative,0.0001,sum,Sensor,2
relative,0.001,sum,Sensor,1
relative,0.01,sum,Sensor,1
relative,0.050000000000000003,sum,Sensor,1
relative,0.10000000000000001,sum,Sensor,1
relative,0.20000000000000001,sum,Sensor,1
relative,0,sum,Uniform,7
relative,9.9999999999999998e-13,sum,Uniform,5
relative,1.0000000000000001e-09,sum,Uniform,4
relative,9.9999999999999995e-07,sum,Uniform,3
relative,0.0001,sum,Uniform,2
relative,0.001,sum,Uniform,2
relative,0.01,sum,Uniform,1
relative,0.050000000000000003,sum,Uniform,1
relative,0.10000000000000001,sum,Uniform,1
relative,0.20000000000000001,sum,Uniform,1
relative,0,sum,Heavy-tailed,NA
relative,9.9999999999999998e-13,sum,Heavy-tailed,7
relative,1.0000000000000001e-09,sum,Heavy-tailed,6
relative,9.9999999999999995e-07,sum,Heavy-tailed,4
relative,0.0001,sum,Heavy-tailed,3
relative,0.001,sum,Heavy-tailed,3
relative,0.01,sum,Heavy-tailed,2
relative,0.050000000000000003,sum,Heavy-tailed,1
relative,0.10000000000000001,sum,Heavy-tailed,1
relative,0.20000000000000001,sum,Heavy-tailed,1
relative,0,sum,Zipfian,NA
relative,9.9999999999999998e-13,sum,Zipfian,7
relative,1.0000000000000001e-09,sum,Zipfian,6
relative,9.9999999999999995e-07,sum,Zipfian,4
relative,0.0001,sum,Zipfian,3
relative,0.001,sum,Zipfian,3
relative,0.01,sum,Zipfian,2
relative,0.050000000000000003,sum,Zipfian,2
relative,0.10000000000000001,sum,Zipfian,1
relative,0.20000000000000001,sum,Zipfian,1
relative,0,avg,Sensor,6
relative,9.9999999999999998e-13,avg,Sensor,5
relative,1.0000000000000001e-09,avg,Sensor,4
relative,9.9999999999999995e-07,avg,Sensor,2
relative,0.0001,avg,Sensor,2
relative,0.001,avg,Sensor,1
relative,0.01,avg,Sensor,1
relative,0.050000000000000003,avg,Sensor,1
relative,0.10000000000000001,avg,Sensor,1
relative,0.20000000000000001,avg,Sensor,1
relative,0,avg,Uniform,7
relative,9.9999999999999998e-13,avg,Uniform,5
relative,1.0000000000000001e-09,avg,Uniform,4
relative,9.9999999999999995e-07,avg,Uniform,3
relative,0.0001,avg,Uniform,2
relative,0.001,avg,Uniform,2
relative,0.01,avg,Uniform,1
relative,0.050000000000000003,avg,Uniform,1
relative,0.10000000000000001,avg,Uniform,1
relative,0.20000000000000001,avg,Uniform,1
relative,0,avg,Heavy-tailed,NA
relative,9.9999999999999998e-13,avg,Heavy-tailed,7
relative,1.0000000000000001e-09,avg,Heavy-tailed,6
relative,9.9999999999999995e-07,avg,Heavy-tailed,4
relative,0.0001,avg,Heavy-tailed,3
relative,0.001,avg,Heavy-tailed,3
relative,0.01,avg,Heavy-tailed,2
relative,0.050000000000000003,avg,Heavy-tailed,1
relative,0.10000000000000001,avg,Heavy-tailed,1
relative,0.20000000000000001,avg,Heavy-tailed,1
relative,0,avg,Zipfian,8
relative,9.9999999999999998e-13,avg,Zipfian,7
relative,1.0000000000000001e-09,avg,Zipfian,6
relative,9.9999999999999995e-07,avg,Zipfian,4
relative,0.0001,avg,Zipfian,3
relative,0.001,avg,Zipfian,3
relative,0.01,avg,Zipfian,2
relative,0.050000000000000003,avg,Zipfian,2
relative,0.10000000000000001,avg,Zipfian,1
relative,0.20000000000000001,avg,Zipfian,1
relative,0,count_gt,Sensor,3
relative,9.9999999999999998e-13,count_gt,Sensor,3
relative,1.0000000000000001e-09,count_gt,Sensor,3
relative,9.9999999999999995e-07,count_gt,Sensor,3
relative,0.0001,count_gt,Sensor,2
relative,0.001,count_gt,Sensor,2
relative,0.01,count_gt,Sensor,1
relative,0.050000000000000003,count_gt,Sensor,1
relative,0.10000000000000001,count_gt,Sensor,1
relative,0.20000000000000001,count_gt,Sensor,1
relative,0,count_gt,Uniform,4
relative,9.9999999999999998e-13,count_gt,Uniform,4
relative,1.0000000000000001e-09,count_gt,Uniform,4
relative,9.9999999999999995e-07,count_gt,Uniform,3
relative,0.0001,count_gt,Uniform,2
relative,0.001,count_gt,Uniform,2
relative,0.01,count_gt,Uniform,1
relative,0.050000000000000003,count_gt,Uniform,1
relative,0.10000000000000001,count_gt,Uniform,1
