mode,bytes,effective_bytes,block,grid,warmup,iters,ms_per_iter,GBps,active_frac,gather_span_bytes,device,sm,cc_major,cc_minor
gather,1048576,1048576,256,1056,10,200,0.003089,339.442,1.000,1048576,NVIDIA H200,132,9,0
gather,2097152,2097152,256,1056,10,200,0.003647,575.079,1.000,2097152,NVIDIA H200,132,9,0
gather,4194304,4194304,256,1056,10,200,0.004320,970.832,1.000,4194304,NVIDIA H200,132,9,0
gather,8388608,8388608,256,1056,10,200,0.006214,1349.970,1.000,8388608,NVIDIA H200,132,9,0
gather,16777216,16777216,256,1056,10,200,0.009681,1732.926,1.000,16777216,NVIDIA H200,132,9,0
gather,33554432,33554432,256,1056,10,200,0.022815,1470.736,1.000,33554432,NVIDIA H200,132,9,0
gather,67108864,67108864,256,1056,10,200,0.060265,1113.566,1.000,67108864,NVIDIA H200,132,9,0
gather,134217728,134217728,256,1056,10,200,0.197422,679.853,1.000,134217728,NVIDIA H200,132,9,0
gather,268435456,268435456,256,1056,10,200,0.419675,639.628,1.000,268435456,NVIDIA H200,132,9,0
gather,536870912,536870912,256,1056,10,200,0.869585,617.388,1.000,536870912,NVIDIA H200,132,9,0
gather,1073741824,1073741824,256,1056,10,200,1.779146,603.515,1.000,1073741824,NVIDIA H200,132,9,0
gather,2147483648,2147483648,256,1056,10,200,3.600364,596.463,1.000,2147483648,NVIDIA H200,132,9,0
gather,4294967296,4294967296,256,1056,10,200,7.245531,592.775,1.000,4294967296,NVIDIA H200,132,9,0
gather,8589934592,8589934592,256,1056,10,200,14.531176,591.138,1.000,8589934592,NVIDIA H200,132,9,0
