bytes,GBps_seq,GBps_gather,gather_vs_seq_ratio,bytes_GiB
1048576,360.841,339.442,0.9406968720295088,0.0009765625
2097152,714.639,575.079,0.8047125891534046,0.001953125
4194304,1408.695,970.832,0.6891711832582639,0.00390625
8388608,2398.28,1349.97,0.5628909051486899,0.0078125
16777216,3789.714,1732.926,0.4572709180692791,0.015625
33554432,5360.681,1470.736,0.27435618720830435,0.03125
67108864,3519.627,1113.566,0.31638750356216727,0.0625
134217728,3869.82,679.853,0.17568078101823856,0.125
268435456,4119.413,639.628,0.15527163700265065,0.25
536870912,4292.94,617.388,0.14381472836797163,0.5
1073741824,4373.933,603.515,0.1379799370497902,1.0
2147483648,4436.675,596.463,0.1344391915116613,2.0
4294967296,4463.043,592.775,0.1328185724403731,4.0
8589934592,4482.606,591.138,0.1318737359473485,8.0
