mode,bytes,effective_bytes,block,grid,warmup,iters,ms_per_iter,GBps,active_frac,gather_span_bytes,device,sm,cc_major,cc_minor
masked,1048576,524288,256,1056,10,200,0.002957,177.278,0.500,0,NVIDIA H200,132,9,0
masked,2097152,1048576,256,1056,10,200,0.003103,337.954,0.500,0,NVIDIA H200,132,9,0
masked,4194304,2097152,256,1056,10,200,0.003156,664.531,0.500,0,NVIDIA H200,132,9,0
masked,8388608,4194304,256,1056,10,200,0.003546,1182.960,0.500,0,NVIDIA H200,132,9,0
masked,16777216,8388608,256,1056,10,200,0.004520,1855.953,0.500,0,NVIDIA H200,132,9,0
masked,33554432,16777216,256,1056,10,200,0.006429,2609.501,0.500,0,NVIDIA H200,132,9,0
masked,67108864,33554432,256,1056,10,200,0.019173,1750.062,0.500,0,NVIDIA H200,132,9,0
masked,134217728,67108864,256,1056,10,200,0.034783,1929.374,0.500,0,NVIDIA H200,132,9,0
masked,268435456,134217728,256,1056,10,200,0.065372,2053.123,0.500,0,NVIDIA H200,132,9,0
masked,536870912,268435456,256,1056,10,200,0.125160,2144.730,0.500,0,NVIDIA H200,132,9,0
masked,1073741824,536870912,256,1056,10,200,0.245473,2187.088,0.500,0,NVIDIA H200,132,9,0
masked,2147483648,1073741824,256,1056,10,200,0.484000,2218.473,0.500,0,NVIDIA H200,132,9,0
masked,4294967296,2147483648,256,1056,10,200,0.962439,2231.294,0.500,0,NVIDIA H200,132,9,0
masked,8589934592,4294967296,256,1056,10,200,1.916956,2240.514,0.500,0,NVIDIA H200,132,9,0
