mode,bytes,effective_bytes,block,grid,warmup,iters,ms_per_iter,GBps,active_frac,gather_span_bytes,device,sm,cc_major,cc_minor,bytes_GiB
gather,1048576,1048576,256,1056,10,200,0.003089,339.442,1.0,1048576,NVIDIA H200,132,9,0,0.0009765625
gather,2097152,2097152,256,1056,10,200,0.003647,575.079,1.0,2097152,NVIDIA H200,132,9,0,0.001953125
gather,4194304,4194304,256,1056,10,200,0.00432,970.832,1.0,4194304,NVIDIA H200,132,9,0,0.00390625
gather,8388608,8388608,256,1056,10,200,0.006214,1349.97,1.0,8388608,NVIDIA H200,132,9,0,0.0078125
gather,16777216,16777216,256,1056,10,200,0.009681,1732.926,1.0,16777216,NVIDIA H200,132,9,0,0.015625
gather,33554432,33554432,256,1056,10,200,0.022815,1470.736,1.0,33554432,NVIDIA H200,132,9,0,0.03125
gather,67108864,67108864,256,1056,10,200,0.060265,1113.566,1.0,67108864,NVIDIA H200,132,9,0,0.0625
gather,134217728,134217728,256,1056,10,200,0.197422,679.853,1.0,134217728,NVIDIA H200,132,9,0,0.125
gather,268435456,268435456,256,1056,10,200,0.419675,639.628,1.0,268435456,NVIDIA H200,132,9,0,0.25
gather,536870912,536870912,256,1056,10,200,0.869585,617.388,1.0,536870912,NVIDIA H200,132,9,0,0.5
gather,1073741824,1073741824,256,1056,10,200,1.779146,603.515,1.0,1073741824,NVIDIA H200,132,9,0,1.0
gather,2147483648,2147483648,256,1056,10,200,3.600364,596.463,1.0,2147483648,NVIDIA H200,132,9,0,2.0
gather,4294967296,4294967296,256,1056,10,200,7.245531,592.775,1.0,4294967296,NVIDIA H200,132,9,0,4.0
gather,8589934592,8589934592,256,1056,10,200,14.531176,591.138,1.0,8589934592,NVIDIA H200,132,9,0,8.0
masked,1048576,524288,256,1056,10,200,0.002957,177.278,0.5,0,NVIDIA H200,132,9,0,0.0009765625
masked,2097152,1048576,256,1056,10,200,0.003103,337.954,0.5,0,NVIDIA H200,132,9,0,0.001953125
masked,4194304,2097152,256,1056,10,200,0.003156,664.531,0.5,0,NVIDIA H200,132,9,0,0.00390625
masked,8388608,4194304,256,1056,10,200,0.003546,1182.96,0.5,0,NVIDIA H200,132,9,0,0.0078125
masked,16777216,8388608,256,1056,10,200,0.00452,1855.953,0.5,0,NVIDIA H200,132,9,0,0.015625
masked,33554432,16777216,256,1056,10,200,0.006429,2609.501,0.5,0,NVIDIA H200,132,9,0,0.03125
masked,67108864,33554432,256,1056,10,200,0.019173,1750.062,0.5,0,NVIDIA H200,132,9,0,0.0625
masked,134217728,67108864,256,1056,10,200,0.034783,1929.374,0.5,0,NVIDIA H200,132,9,0,0.125
masked,268435456,134217728,256,1056,10,200,0.065372,2053.123,0.5,0,NVIDIA H200,132,9,0,0.25
masked,536870912,268435456,256,1056,10,200,0.12516,2144.73,0.5,0,NVIDIA H200,132,9,0,0.5
masked,1073741824,536870912,256,1056,10,200,0.245473,2187.088,0.5,0,NVIDIA H200,132,9,0,1.0
masked,2147483648,1073741824,256,1056,10,200,0.484,2218.473,0.5,0,NVIDIA H200,132,9,0,2.0
masked,4294967296,2147483648,256,1056,10,200,0.962439,2231.294,0.5,0,NVIDIA H200,132,9,0,4.0
masked,8589934592,4294967296,256,1056,10,200,1.916956,2240.514,0.5,0,NVIDIA H200,132,9,0,8.0
seq,1048576,1048576,256,1056,10,200,0.002906,360.841,1.0,0,NVIDIA H200,132,9,0,0.0009765625
seq,2097152,2097152,256,1056,10,200,0.002935,714.639,1.0,0,NVIDIA H200,132,9,0,0.001953125
seq,4194304,4194304,256,1056,10,200,0.002977,1408.695,1.0,0,NVIDIA H200,132,9,0,0.00390625
seq,8388608,8388608,256,1056,10,200,0.003498,2398.28,1.0,0,NVIDIA H200,132,9,0,0.0078125
seq,16777216,16777216,256,1056,10,200,0.004427,3789.714,1.0,0,NVIDIA H200,132,9,0,0.015625
seq,33554432,33554432,256,1056,10,200,0.006259,5360.681,1.0,0,NVIDIA H200,132,9,0,0.03125
seq,67108864,67108864,256,1056,10,200,0.019067,3519.627,1.0,0,NVIDIA H200,132,9,0,0.0625
seq,134217728,134217728,256,1056,10,200,0.034683,3869.82,1.0,0,NVIDIA H200,132,9,0,0.125
seq,268435456,268435456,256,1056,10,200,0.065164,4119.413,1.0,0,NVIDIA H200,132,9,0,0.25
seq,536870912,536870912,256,1056,10,200,0.125059,4292.94,1.0,0,NVIDIA H200,132,9,0,0.5
seq,1073741824,1073741824,256,1056,10,200,0.245487,4373.933,1.0,0,NVIDIA H200,132,9,0,1.0
seq,2147483648,2147483648,256,1056,10,200,0.48403,4436.675,1.0,0,NVIDIA H200,132,9,0,2.0
seq,4294967296,4294967296,256,1056,10,200,0.96234,4463.043,1.0,0,NVIDIA H200,132,9,0,4.0
seq,8589934592,8589934592,256,1056,10,200,1.916281,4482.606,1.0,0,NVIDIA H200,132,9,0,8.0
