strategy,plane_bytes,k,n,logical_bytes,overfetch_factor,block,grid,warmup,iters,ms_per_iter,logical_GBps,device,sm,cc_major,cc_minor,run_dir,run_label
byte,1,1,100000000,100000000,1.0,256,1056,10,200,0.165192,605.356,NVIDIA H200,132,9,0,run_20260410_144202_job16611_H200,20260410_144202_job16611_H200
byte,1,2,100000000,200000000,1.0,256,1056,10,200,0.301759,662.78,NVIDIA H200,132,9,0,run_20260410_144202_job16611_H200,20260410_144202_job16611_H200
byte,1,3,100000000,300000000,1.0,256,1056,10,200,0.325461,921.771,NVIDIA H200,132,9,0,run_20260410_144202_job16611_H200,20260410_144202_job16611_H200
byte,1,4,100000000,400000000,1.0,256,1056,10,200,0.241899,1653.586,NVIDIA H200,132,9,0,run_20260410_144202_job16611_H200,20260410_144202_job16611_H200
byte,1,5,100000000,500000000,1.0,256,1056,10,200,0.377459,1324.647,NVIDIA H200,132,9,0,run_20260410_144202_job16611_H200,20260410_144202_job16611_H200
byte,1,6,100000000,600000000,1.0,256,1056,10,200,0.513687,1168.026,NVIDIA H200,132,9,0,run_20260410_144202_job16611_H200,20260410_144202_job16611_H200
byte,1,7,100000000,700000000,1.0,256,1056,10,200,0.53968,1297.064,NVIDIA H200,132,9,0,run_20260410_144202_job16611_H200,20260410_144202_job16611_H200
byte,1,8,100000000,800000000,1.0,256,1056,10,200,0.404947,1975.568,NVIDIA H200,132,9,0,run_20260410_144202_job16611_H200,20260410_144202_job16611_H200
byte,1,1,100000000,100000000,1.0,256,1056,10,200,0.140218,713.176,NVIDIA H200,132,9,0,run_20260410_203754_job16675_H200,20260410_203754_job16675_H200
byte,1,2,100000000,200000000,1.0,256,1056,10,200,0.16247,1230.993,NVIDIA H200,132,9,0,run_20260410_203754_job16675_H200,20260410_203754_job16675_H200
byte,1,3,100000000,300000000,1.0,256,1056,10,200,0.17653,1699.43,NVIDIA H200,132,9,0,run_20260410_203754_job16675_H200,20260410_203754_job16675_H200
byte,1,4,100000000,400000000,1.0,256,1056,10,200,0.194309,2058.577,NVIDIA H200,132,9,0,run_20260410_203754_job16675_H200,20260410_203754_job16675_H200
byte,1,5,100000000,500000000,1.0,256,1056,10,200,0.21449,2331.11,NVIDIA H200,132,9,0,run_20260410_203754_job16675_H200,20260410_203754_job16675_H200
byte,1,6,100000000,600000000,1.0,256,1056,10,200,0.339181,1768.965,NVIDIA H200,132,9,0,run_20260410_203754_job16675_H200,20260410_203754_job16675_H200
byte,1,7,100000000,700000000,1.0,256,1056,10,200,0.603681,1159.553,NVIDIA H200,132,9,0,run_20260410_203754_job16675_H200,20260410_203754_job16675_H200
byte,1,8,100000000,800000000,1.0,256,1056,10,200,0.630561,1268.712,NVIDIA H200,132,9,0,run_20260410_203754_job16675_H200,20260410_203754_job16675_H200
