dataset,aggregation,k,threshold,exact,approx,abs_error,rel_error,analytic_bound,bound_gap
Sensor,sum,1,25,2500465912.5863605,2499859403.5703125,606509.01604795456,0.00024255840201421148,1212963.9999999574,1.9999109129550887
Sensor,avg,1,25,25.004659125863604,24.998594035703125,0.0060650901604795138,0.0002425584020142102,0.012129639999999574,1.9999109129550992
Sensor,count_gt,1,25,50066146,49919004,147142,0.0029389520016180194,147142,1
Sensor,min,1,25,15.966351335507754,15.9609375,0.0054138355077544276,0.00033907781395956985,0.031249999999998224,5.7722477816767332
Sensor,max,1,25,34.188229765449229,34.1875,0.0007297654492290917,2.1345517279943983e-05,0.031249999999998224,42.821977983487763
Sensor,var,1,25,20.551548947272536,20.552350390600267,0.00080144332773102178,3.8996735953441795e-05,1.2390105600963559,1545.9740161592426
Sensor,sum,2,25,2500465912.5863605,2500463543.4628448,2369.1235156059265,9.474728304355968e-07,4738.1406246375036,1.9999550861009785
Sensor,avg,2,25,25.004659125863604,25.004635434628447,2.3691235156775292e-05,9.4747283046423255e-07,4.7381406246375033e-05,1.9999550860405331
Sensor,count_gt,2,25,50066146,50065553,593,1.1844330897768723e-05,593,1
Sensor,min,2,25,15.966351335507754,15.966339111328125,1.2224179629427567e-05,7.6562136035689459e-07,0.00012207031249822364,9.9859717542403246
Sensor,max,2,25,34.188229765449229,34.18817138671875,5.8378730479091701e-05,1.707568098132109e-06,0.00012207031249822364,2.0910066302648196
Sensor,var,2,25,20.551548947272536,20.551551966904007,3.0196314710906336e-06,1.4692962943269435e-07,0.0048393125256047144,1602.6169325413894
Sensor,sum,3,25,2500465912.5863605,2500465903.3324761,9.2538843154907227,3.7008640145463747e-09,18.508361453909856,2.0000640620639074
Sensor,avg,3,25,25.004659125863604,25.00465903332476,9.2538844143064125e-08,3.7008640540652859e-09,1.8508361453909856e-07,2.0000640407066372
Sensor,count_gt,3,25,50066146,50066146,0,0,0,1
Sensor,min,3,25,15.966351335507754,15.966351270675659,6.4832095247879806e-08,4.0605454487086823e-09,4.7683715642676816e-07,7.3549552054985003
Sensor,max,3,25,34.188229765449229,34.188229560852051,2.0459717831045054e-07,5.9844332307962121e-09,4.7683715642676816e-07,2.3306145293129488
Sensor,var,3,25,20.551548947272536,20.551548959018291,1.1745754591174773e-08,5.7152648792117401e-10,1.8903555449683114e-05,1609.3947224034791
Sensor,sum,4,25,2500465912.5863605,2500465912.5502124,0.0361480712890625,1.4456534323106485e-11,0.072297925848943123,2.0000493323918684
Sensor,avg,4,25,25.004659125863604,25.004659125502123,3.6148151139059337e-10,1.4456566257153831e-11,7.2297925848943123e-10,2.0000449143531078
Sensor,count_gt,4,25,50066146,50066146,0,0,0,1
Sensor,min,4,25,15.966351335507754,15.966351335402578,1.0517631210404943e-10,6.5873730255544741e-12,1.8626433728741176e-09,17.709723183975409
Sensor,max,4,25,34.188229765449229,34.188229764811695,6.3753446966074989e-10,1.8647776560371807e-11,1.8626433728741176e-09,2.9216355530788523
Sensor,var,4,25,20.551548947272536,20.551548947317809,4.5272230408954783e-11,2.2028622039684756e-12,7.3841645147847883e-08,1631.0582553768349
Sensor,sum,5,25,2500465912.5863605,2500465912.5862198,0.00014066696166992188,5.6256300460590085e-14,0.00028205269245518139,2.0051097223314187
Sensor,avg,5,25,25.004659125863604,25.004659125862197,1.4068746168049984e-12,5.626449893691195e-14,2.8205269245518141e-12,2.0048175515151518
Sensor,count_gt,5,25,50066146,50066146,0,0,0,1
Sensor,min,5,25,15.966351335507754,15.966351335506261,1.4939161019356106e-12,9.3566530670866126e-14,7.2741812573440257e-12,4.8692033293697978
Sensor,max,5,25,34.188229765449229,34.188229765448341,8.8817841970012523e-13,2.5979070159336597e-14,7.2741812573440257e-12,8.1899999999999995
Sensor,var,5,25,20.551548947272536,20.551548947272835,2.9842794901924208e-13,1.4520946804783171e-14,2.8807573216951562e-10,965.31083337285213
Sensor,sum,6,25,2500465912.5863605,2500465912.5863605,0,0,7.4300169217167422e-07,inf
Sensor,avg,6,25,25.004659125863604,25.004659125863604,0,0,7.4300169217167425e-15,inf
Sensor,count_gt,6,25,50066146,50066146,0,0,0,1
Sensor,min,6,25,15.966351335507754,15.966351335507753,1.7763568394002505e-15,1.1125627903789076e-16,2.6645352591003757e-14,15
Sensor,max,6,25,34.188229765449229,34.188229765449222,7.1054273576010019e-15,2.0783256127469275e-16,2.6645352591003757e-14,3.75
Sensor,var,6,25,20.551548947272536,20.551548947272558,2.1316282072803006e-14,1.0372104860559409e-15,7.5979125413091933e-13,35.643704260243439
Sensor,sum,7,25,2500465912.5863605,2500465912.5863605,0,0,0,1
Sensor,avg,7,25,25.004659125863604,25.004659125863604,0,0,0,1
Sensor,count_gt,7,25,50066146,50066146,0,0,0,1
Sensor,min,7,25,15.966351335507754,15.966351335507754,0,0,0,1
Sensor,max,7,25,34.188229765449229,34.188229765449229,0,0,0,1
Sensor,var,7,25,20.551548947272536,20.551548947272536,0,0,0,1
Sensor,sum,8,25,2500465912.5863605,2500465912.5863605,0,0,0,1
Sensor,avg,8,25,25.004659125863604,25.004659125863604,0,0,0,1
Sensor,count_gt,8,25,50066146,50066146,0,0,0,1
Sensor,min,8,25,15.966351335507754,15.966351335507754,0,0,0,1
Sensor,max,8,25,34.188229765449229,34.188229765449229,0,0,0,1
Sensor,var,8,25,20.551548947272536,20.551548947272536,0,0,0,1
Uniform,sum,1,500,50004564432.701981,49804565296,199999136.70198059,0.003999617614330926,400000000,2.0000086330174582
Uniform,avg,1,500,500.04564432701983,498.04565295999998,1.9999913670198453,0.0039996176143310049,4,2.0000086330174192
Uniform,count_gt,1,500,50002727,49608636,394091,0.0078813901489812738,399291,1.0131949219850238
Uniform,min,1,500,5.4511041569504926e-05,0,5.4511041569504926e-05,1,4,73379.628875734372
Uniform,max,1,500,999.99999606894755,998,1.9999960689475529,0.0019999960768096424,4,2.0000039310601738
Uniform,var,1,500,83336.800489339599,83335.469145194162,1.3313441454374697,1.5975465072093506e-05,12014.426981074896,9024.2834824102119
Uniform,sum,2,500,50004564432.701981,50003783238.90625,781193.79573059082,1.5622449762200225e-05,1562499.9999999998,2.0001438932815807
Uniform,avg,2,500,500.04564432701983,500.03783238906249,0.007811937957342252,1.5622449762272903e-05,0.015624999999999998,2.0001438932722753
Uniform,count_gt,2,500,50002727,50001161,1566,3.1318291900359753e-05,1566,1
Uniform,min,2,500,5.4511041569504926e-05,0,5.4511041569504926e-05,1,0.015625,286.63917529583739
Uniform,max,2,500,999.99999606894755,999.984375,0.015621068947552885,1.5621069008960128e-05,0.015625,1.0002516506687418
Uniform,var,2,500,83336.800489339599,83336.800454158001,3.5181597922928631e-05,4.2216161067317484e-10,46.869099535448754,1332204.9680097993
Uniform,sum,3,500,50004564432.701981,50004561381.00946,3051.6925201416016,6.1028279213364293e-08,6103.5156249978099,2.0000427909147942
